問い合わせID,従業員ID,問い合わせカテゴリ,問い合わせ内容,対応優先度,問い合わせ日時,対応内容,対応に要した時間（分）
Q001,E017,法務相談,知的財産権について相談したい,低,2023-03-22 10:16,知的財産に関する規定を確認し、アドバイスを提供,36
Q002,E011,法務相談,コンプライアンス対応のアドバイスがほしい,低,2022-02-01 12:39,法務部と連携し、適切な対応策を提案,45
Q003,E016,法務相談,契約書のリーガルチェックをお願いしたい,中,2022-04-22 18:32,契約書を確認し、必要な修正点を指摘,38
Q004,E005,技術的なトラブル対応,アプリがクラッシュする,低,2023-05-27 11:03,クラッシュの詳細を確認し、技術部へエスカレーション,50
Q005,E025,社内施設利用,会議室の予約をしたい,高,2021-05-21 16:19,予約可能な時間を確認し、予約手続きをサポート,81
Q006,E008,技術的なトラブル対応,システムにログインできない,高,2023-06-28 16:34,パスワードリセットの手順を案内し、ログインサポートを実施,112
Q007,E006,社内施設利用,社内設備の不具合を報告したい,高,2024-02-09 13:21,設備の不具合を記録し、担当部署へ報告,53
Q008,E008,新規契約,新しいプランに契約したい,中,2022-12-20 15:05,契約フォームを案内し、申請手続きを説明,61
Q009,E005,請求関連,請求書を再発行してほしい,中,2022-01-08 11:13,請求履歴を確認し、再発行手続きを実施,62
Q010,E006,契約変更,契約プランを変更したい,低,2024-03-16 09:43,変更手続きの方法を案内し、フォームへの入力を依頼,81
Q011,E025,社内施設利用,会議室の予約をしたい,高,2022-08-17 15:33,予約可能な時間を確認し、予約手続きをサポート,5
Q012,E003,システム障害対応,VPN接続ができない,高,2022-02-13 11:41,VPN設定を確認し、トラブルシューティングを実施,76
Q013,E007,請求関連,支払い方法を変更したい,高,2022-02-13 18:16,利用可能な支払い方法を説明し、変更手続きを案内,67
Q014,E006,請求関連,未払い金が発生しているか確認したい,高,2023-03-22 09:29,請求履歴を確認し、未払いの有無を報告,55
Q015,E026,技術的なトラブル対応,システムにログインできない,中,2023-04-28 15:45,パスワードリセットの手順を案内し、ログインサポートを実施,70
Q016,E023,技術的なトラブル対応,エラーメッセージが表示される,高,2024-02-02 13:57,エラーメッセージの意味を説明し、解決策を案内,54
Q017,E017,技術的なトラブル対応,アプリがクラッシュする,高,2023-03-24 18:37,クラッシュの詳細を確認し、技術部へエスカレーション,79
Q018,E002,社内施設利用,社用車の利用申請をしたい,低,2020-06-10 10:47,利用条件を説明し、申請フォームを提供,96
Q019,E014,請求関連,未払い金が発生しているか確認したい,低,2020-01-25 12:52,請求履歴を確認し、未払いの有無を報告,89
Q020,E009,技術的なトラブル対応,アプリがクラッシュする,高,2022-11-06 15:10,クラッシュの詳細を確認し、技術部へエスカレーション,70
Q021,E028,新規契約,契約の詳細を知りたい,低,2020-04-09 12:50,契約内容を確認し、詳細をメールで送付,107
Q022,E022,システム障害対応,アカウントロックされた,高,2022-09-28 17:10,本人確認を実施し、アカウントのロック解除手続きを案内,83
Q023,E024,法務相談,知的財産権について相談したい,低,2020-01-18 11:33,知的財産に関する規定を確認し、アドバイスを提供,117
Q024,E017,契約変更,契約プランを変更したい,中,2022-03-18 17:49,変更手続きの方法を案内し、フォームへの入力を依頼,65
Q025,E011,システム障害対応,社内ネットワークが遅い,高,2023-12-25 09:38,ネットワークの状況を確認し、技術チームに報告,75
Q026,E028,社内施設利用,会議室の予約をしたい,高,2024-07-18 13:14,予約可能な時間を確認し、予約手続きをサポート,42
Q027,E013,契約変更,契約を一時停止できるか知りたい,高,2024-12-02 10:57,一時停止の条件を説明し、申請フォームを提供,88
Q028,E004,新規契約,新しいプランに契約したい,中,2023-07-03 10:14,契約フォームを案内し、申請手続きを説明,3
Q029,E023,社内施設利用,会議室の予約をしたい,中,2021-11-09 15:26,予約可能な時間を確認し、予約手続きをサポート,44
Q030,E010,システム障害対応,VPN接続ができない,低,2022-07-18 17:09,VPN設定を確認し、トラブルシューティングを実施,40
